epoch,accuracy,loss,top2,val_accuracy,val_loss,val_top2
0,0.1323828101158142,2.424150228500366,0.26597654819488525,0.12324661016464233,2.110621690750122,0.2544059455394745
1,0.15410810708999634,2.1881725788116455,0.30120953917503357,0.11797146499156952,5.143524646759033,0.2672341465950012
2,0.1870703101158142,2.0746400356292725,0.35023438930511475,0.21352355182170868,2.0130622386932373,0.3770531117916107
3,0.22382275760173798,1.9805824756622314,0.4198535978794098,0.1872677206993103,2.048619031906128,0.38880228996276855
4,0.2885156273841858,1.8820675611495972,0.5018359422683716,0.27574631571769714,1.8742613792419434,0.5005394816398621
5,0.35319215059280396,1.7811013460159302,0.5734137296676636,0.38436639308929443,1.725487232208252,0.6087998747825623
6,0.4112499952316284,1.6713021993637085,0.6353515386581421,0.472964882850647,1.5540517568588257,0.692602813243866
7,0.4598046839237213,1.5794663429260254,0.6846874952316284,0.5368660688400269,1.4581457376480103,0.7337249517440796
8,0.5026030540466309,1.5057059526443481,0.7173053622245789,0.5730727910995483,1.3722679615020752,0.7768852710723877
9,0.5415624976158142,1.4278903007507324,0.7524609565734863,0.5061743259429932,1.4754306077957153,0.7240139245986938
10,0.595608115196228,1.321881651878357,0.7958272695541382,0.5005394816398621,1.5462908744812012,0.7057906985282898
11,0.6206640601158142,1.2734997272491455,0.8133593797683716,0.34444311261177063,1.8545516729354858,0.6626303791999817
12,0.6402734518051147,1.2302967309951782,0.8267577886581421,0.6258242130279541,1.3049901723861694,0.8056588172912598
13,0.6740908622741699,1.1714743375778198,0.8471836447715759,0.6023258566856384,1.3039425611495972,0.8133317232131958
14,0.6916797161102295,1.1373462677001953,0.859570324420929,0.6492027044296265,1.2484304904937744,0.8240019083023071
15,0.7123827934265137,1.0911266803741455,0.8753906488418579,0.5438196659088135,1.516313910484314,0.7421172261238098
16,0.7238423228263855,1.0711135864257812,0.8805339336395264,0.6489629745483398,1.2560724020004272,0.8129720687866211
17,0.744140625,1.0258268117904663,0.8946093916893005,0.6800143718719482,1.170747995376587,0.8459417223930359
18,0.7565663456916809,0.998917281627655,0.9035894870758057,0.6510010957717896,1.2654634714126587,0.8038604259490967
19,0.7607031464576721,0.9886915683746338,0.9057031273841858,0.6325380802154541,1.3062410354614258,0.803500771522522
20,0.7760546803474426,0.9588162302970886,0.9143359661102295,0.6743795871734619,1.2252527475357056,0.8416256904602051
21,0.7839276790618896,0.9364389181137085,0.9178768396377563,0.6368541121482849,1.3407593965530396,0.8062582612037659
22,0.7935546636581421,0.9201930165290833,0.9249609112739563,0.6761779189109802,1.2219786643981934,0.8302361965179443
23,0.8021484613418579,0.9015198349952698,0.926562488079071,0.6999160647392273,1.1668306589126587,0.8548135757446289
24,0.8115624785423279,0.8867227435112,0.9287109375,0.6585541367530823,1.236960530281067,0.8377892374992371
25,0.8144596219062805,0.8764697313308716,0.9357262849807739,0.6629900336265564,1.2770544290542603,0.8220837116241455
26,0.8207812309265137,0.8610877394676208,0.9380468726158142,0.6798945069313049,1.2712870836257935,0.8213643431663513
27,0.8293750286102295,0.8465587496757507,0.9399999976158142,0.675458550453186,1.2479629516601562,0.8295168280601501
28,0.8348925709724426,0.8316974639892578,0.9458644986152649,0.6326579451560974,1.384570837020874,0.789713442325592
29,0.843554675579071,0.8143895864486694,0.9480859637260437,0.687087893486023,1.2583736181259155,0.8374295830726624
30,0.8409597873687744,0.8122537732124329,0.9510705471038818,0.6737801432609558,1.2988731861114502,0.8229228854179382
31,0.8506640791893005,0.7985870242118835,0.9538671970367432,0.703632652759552,1.2060127258300781,0.8486992120742798
32,0.8529297113418579,0.7894487977027893,0.9548437595367432,0.6768972277641296,1.2913916110992432,0.8269991874694824
33,0.8559909462928772,0.7848550081253052,0.9574509859085083,0.6900851130485535,1.252472162246704,0.8362306952476501
34,0.8638195991516113,0.7685137987136841,0.9598778486251831,0.6908044815063477,1.2391541004180908,0.8397074937820435
35,0.866015613079071,0.765583336353302,0.9608203172683716,0.6946409344673157,1.2319324016571045,0.8419853448867798
36,0.8672265410423279,0.7586953639984131,0.9619140625,0.6886464357376099,1.260704755783081,0.8346720933914185
37,0.8716406226158142,0.7538567185401917,0.9630078077316284,0.6946409344673157,1.2391782999038696,0.8386284708976746
38,0.8697694540023804,0.7534453868865967,0.9618350267410278,0.7098669409751892,1.2091566324234009,0.846541166305542
39,0.876462996006012,0.746202290058136,0.9648099541664124,0.6970387101173401,1.2462353706359863,0.839347779750824
40,0.875,0.7435303330421448,0.9652343988418579,0.6951205134391785,1.2439286708831787,0.8397074937820435
41,0.8774999976158142,0.738541841506958,0.9658984541893005,0.6984773874282837,1.2399406433105469,0.8413859009742737
42,0.876071572303772,0.7407799363136292,0.9652796983718872,0.6978779435157776,1.2446194887161255,0.8399472236633301
43,0.8796484470367432,0.7358098030090332,0.9674609303474426,0.6967989206314087,1.242960810661316,0.8389881253242493
44,0.8811328411102295,0.7357438802719116,0.9671875238418579,0.6967989206314087,1.242155909538269,0.8417456150054932
